"U.S. Census Bureau, New Single-family Houses Sold, Seasonally Adjusted Annual Rate for All Houses [Thousands of Units]",
date,sales
Jan-63,591
Feb-63,464
Mar-63,461
Apr-63,605
May-63,586
Jun-63,526
Jul-63,665
Aug-63,570
Sep-63,590
Oct-63,567
Nov-63,579
Dec-63,514
Jan-64,549
Feb-64,609
Mar-64,562
Apr-64,559
May-64,523
Jun-64,580
Jul-64,575
Aug-64,582
Sep-64,590
Oct-64,583
Nov-64,548
Dec-64,540
Jan-65,533
Feb-65,559
Mar-65,556
Apr-65,555
May-65,544
Jun-65,614
Jul-65,554
Aug-65,615
Sep-65,587
Oct-65,555
Nov-65,616
Dec-65,609
Jan-66,599
Feb-66,541
Mar-66,557
Apr-66,545
May-66,499
Jun-66,434
Jul-66,435
Aug-66,377
Sep-66,358
Oct-66,387
Nov-66,382
Dec-66,369
Jan-67,416
Feb-67,408
Mar-67,439
Apr-67,479
May-67,503
Jun-67,499
Jul-67,515
Aug-67,504
Sep-67,531
Oct-67,566
Nov-67,500
Dec-67,502
Jan-68,494
Feb-68,543
Mar-68,490
Apr-68,501
May-68,441
Jun-68,441
Jul-68,493
Aug-68,507
Sep-68,501
Oct-68,502
Nov-68,469
Dec-68,511
Jan-69,480
Feb-69,524
Mar-69,474
Apr-69,450
May-69,447
Jun-69,461
Jul-69,436
Aug-69,422
Sep-69,396
Oct-69,401
Nov-69,441
Dec-69,452
Jan-70,461
Feb-70,373
Mar-70,389
Apr-70,445
May-70,466
Jun-70,485
Jul-70,481
Aug-70,515
Sep-70,564
Oct-70,545
Nov-70,570
Dec-70,582
Jan-71,618
Feb-71,618
Mar-71,681
Apr-71,662
May-71,618
Jun-71,646
Jul-71,706
Aug-71,659
Sep-71,625
Oct-71,647
Nov-71,710
Dec-71,689
Jan-72,698
Feb-72,711
Mar-72,640
Apr-72,684
May-72,677
Jun-72,687
Jul-72,681
Aug-72,773
Sep-72,767
Oct-72,843
Nov-72,735
Dec-72,772
Jan-73,781
Feb-73,737
Mar-73,725
Apr-73,661
May-73,660
Jun-73,650
Jul-73,601
Aug-73,566
Sep-73,561
Oct-73,565
Nov-73,547
Dec-73,519
Jan-74,523
Feb-74,539
Mar-74,572
Apr-74,544
May-74,590
Jun-74,534
Jul-74,534
Aug-74,492
Sep-74,511
Oct-74,448
Nov-74,450
Dec-74,417
Jan-75,416
Feb-75,422
Mar-75,477
Apr-75,543
May-75,579
Jun-75,557
Jul-75,569
Aug-75,566
Sep-75,556
Oct-75,609
Nov-75,680
Dec-75,669
Jan-76,603
Feb-76,644
Mar-76,591
Apr-76,611
May-76,570
Jun-76,591
Jul-76,664
Aug-76,648
Sep-76,696
Oct-76,708
Nov-76,735
Dec-76,767
Jan-77,825
Feb-77,839
Mar-77,872
Apr-77,799
May-77,807
Jun-77,805
Jul-77,755
Aug-77,808
Sep-77,842
Oct-77,819
Nov-77,829
Dec-77,835
Jan-78,795
Feb-78,791
Mar-78,814
Apr-78,864
May-78,857
Jun-78,834
Jul-78,789
Aug-78,756
Sep-78,812
Oct-78,872
Nov-78,798
Dec-78,805
Jan-79,754
Feb-79,723
Mar-79,793
Apr-79,748
May-79,727
Jun-79,700
Jul-79,715
Aug-79,729
Sep-79,727
Oct-79,670
Nov-79,597
Dec-79,559
Jan-80,592
Feb-80,541
Mar-80,474
Apr-80,370
May-80,469
Jun-80,552
Jul-80,636
Aug-80,659
Sep-80,596
Oct-80,561
Nov-80,562
Dec-80,532
Jan-81,511
Feb-81,510
Mar-81,514
Apr-81,470
May-81,467
Jun-81,415
Jul-81,431
Aug-81,378
Sep-81,338
Oct-81,356
Nov-81,382
Dec-81,457
Jan-82,368
Feb-82,365
Mar-82,374
Apr-82,339
May-82,384
Jun-82,370
Jul-82,375
Aug-82,407
Sep-82,481
Oct-82,480
Nov-82,554
Dec-82,521
Jan-83,582
Feb-83,562
Mar-83,596
Apr-83,638
May-83,664
Jun-83,651
Jul-83,606
Aug-83,572
Sep-83,608
Oct-83,632
Nov-83,644
Dec-83,773
Jan-84,691
Feb-84,696
Mar-84,641
Apr-84,639
May-84,615
Jun-84,630
Jul-84,619
Aug-84,567
Sep-84,662
Oct-84,687
Nov-84,597
Dec-84,597
Jan-85,645
Feb-85,682
Mar-85,671
Apr-85,620
May-85,678
Jun-85,722
Jul-85,766
Aug-85,726
Sep-85,678
Oct-85,655
Nov-85,733
Dec-85,721
Jan-86,733
Feb-86,728
Mar-86,880
Apr-86,857
May-86,789
Jun-86,728
Jul-86,698
Aug-86,621
Sep-86,763
Oct-86,669
Nov-86,707
Dec-86,784
Jan-87,709
Feb-87,732
Mar-87,713
Apr-87,735
May-87,651
Jun-87,637
Jul-87,658
Aug-87,657
Sep-87,666
Oct-87,650
Nov-87,625
Dec-87,595
Jan-88,585
Feb-88,663
Mar-88,669
Apr-88,699
May-88,684
Jun-88,717
Jul-88,679
Aug-88,688
Sep-88,703
Oct-88,718
Nov-88,628
Dec-88,658
Jan-89,719
Feb-89,622
Mar-89,567
Apr-89,608
May-89,656
Jun-89,642
Jul-89,731
Aug-89,697
Sep-89,639
Oct-89,645
Nov-89,684
Dec-89,630
Jan-90,620
Feb-90,591
Mar-90,574
Apr-90,542
May-90,534
Jun-90,545
Jul-90,542
Aug-90,528
Sep-90,496
Oct-90,465
Nov-90,493
Dec-90,464
Jan-91,401
Feb-91,482
Mar-91,507
Apr-91,508
May-91,517
Jun-91,516
Jul-91,511
Aug-91,526
Sep-91,487
Oct-91,524
Nov-91,575
Dec-91,558
Jan-92,676
Feb-92,639
Mar-92,554
Apr-92,546
May-92,554
Jun-92,596
Jul-92,627
Aug-92,636
Sep-92,650
Oct-92,621
Nov-92,614
Dec-92,650
Jan-93,596
Feb-93,604
Mar-93,602
Apr-93,701
May-93,626
Jun-93,653
Jul-93,655
Aug-93,645
Sep-93,726
Oct-93,704
Nov-93,769
Dec-93,812
Jan-94,619
Feb-94,686
Mar-94,747
Apr-94,692
May-94,691
Jun-94,621
Jul-94,628
Aug-94,656
Sep-94,677
Oct-94,715
Nov-94,646
Dec-94,629
Jan-95,626
Feb-95,559
Mar-95,616
Apr-95,621
May-95,674
Jun-95,725
Jul-95,765
Aug-95,701
Sep-95,678
Oct-95,696
Nov-95,664
Dec-95,709
Jan-96,714
Feb-96,769
Mar-96,721
Apr-96,736
May-96,746
Jun-96,721
Jul-96,770
Aug-96,826
Sep-96,770
Oct-96,720
Nov-96,771
Dec-96,805
Jan-97,830
Feb-97,801
Mar-97,831
Apr-97,744
May-97,760
Jun-97,793
Jul-97,805
Aug-97,815
Sep-97,840
Oct-97,800
Nov-97,864
Dec-97,793
Jan-98,872
Feb-98,866
Mar-98,836
Apr-98,866
May-98,887
Jun-98,923
Jul-98,876
Aug-98,846
Sep-98,864
Oct-98,893
Nov-98,995
Dec-98,949
Jan-99,875
Feb-99,848
Mar-99,863
Apr-99,918
May-99,888
Jun-99,923
Jul-99,900
Aug-99,893
Sep-99,826
Oct-99,872
Nov-99,863
Dec-99,873
Jan-00,873
Feb-00,856
Mar-00,900
Apr-00,841
May-00,857
Jun-00,793
Jul-00,887
Aug-00,848
Sep-00,912
Oct-00,933
Nov-00,880
Dec-00,983
1-Jan,936
1-Feb,963
1-Mar,939
1-Apr,909
1-May,885
1-Jun,882
1-Jul,880
1-Aug,866
1-Sep,853
1-Oct,871
1-Nov,924
1-Dec,979
2-Jan,880
2-Feb,948
2-Mar,923
2-Apr,936
2-May,978
2-Jun,957
2-Jul,956
2-Aug,1014
2-Sep,1044
2-Oct,1006
2-Nov,1024
2-Dec,1048
3-Jan,999
3-Feb,936
3-Mar,999
3-Apr,1012
3-May,1078
3-Jun,1193
3-Jul,1168
3-Aug,1206
3-Sep,1131
3-Oct,1144
3-Nov,1093
3-Dec,1129
4-Jan,1165
4-Feb,1159
4-Mar,1276
4-Apr,1186
4-May,1241
4-Jun,1180
4-Jul,1088
4-Aug,1175
4-Sep,1214
4-Oct,1305
4-Nov,1179
4-Dec,1242
5-Jan,1203
5-Feb,1319
5-Mar,1328
5-Apr,1260
5-May,1286
5-Jun,1274
5-Jul,1389
5-Aug,1255
5-Sep,1244
5-Oct,1336
5-Nov,1214
5-Dec,1239
6-Jan,1174
6-Feb,1061
6-Mar,1116
6-Apr,1123
6-May,1086
6-Jun,1074
6-Jul,965
6-Aug,1035
6-Sep,1016
6-Oct,941
6-Nov,1003
6-Dec,998
7-Jan,891
7-Feb,828
7-Mar,833
7-Apr,887
7-May,842
7-Jun,793
7-Jul,778
7-Aug,699
7-Sep,686
7-Oct,727
7-Nov,641
7-Dec,619
8-Jan,627
8-Feb,593
8-Mar,535
8-Apr,536
8-May,504
8-Jun,487
8-Jul,477
8-Aug,435
8-Sep,433
8-Oct,393
8-Nov,389
8-Dec,377
9-Jan,336
9-Feb,372
9-Mar,339
9-Apr,337
9-May,376
9-Jun,393
9-Jul,411
9-Aug,418
9-Sep,386
9-Oct,396
9-Nov,375
9-Dec,352
10-Jan,345
10-Feb,336
10-Mar,381
10-Apr,422
10-May,280
10-Jun,305
10-Jul,283
10-Aug,282
10-Sep,317
10-Oct,291
10-Nov,287
10-Dec,326
11-Jan,308
11-Feb,273
11-Mar,301
11-Apr,312
11-May,308
11-Jun,304
11-Jul,297
11-Aug,292
11-Sep,306
11-Oct,314
11-Nov,327
11-Dec,339
12-Jan,339
12-Feb,366
12-Mar,352
12-Apr,358
12-May,369
12-Jun,360
12-Jul,366
12-Aug,367
12-Sep,374
12-Oct,361
12-Nov,377
