date,sales
1999-10-01,5263
2000-01-01,5556
2000-04-01,6062
2000-07-01,6891
2000-10-01,9070
2001-01-01,7874
2001-04-01,7806
2001-07-01,7738
2001-10-01,10787
2002-01-01,9607
2002-04-01,10050
2002-07-01,10732
2002-10-01,14138
2003-01-01,12326
2003-04-01,12930
2003-07-01,13861
2003-10-01,17865
2004-01-01,16135
2004-04-01,16430
2004-07-01,17307
2004-10-01,22468
2005-01-01,20081
2005-04-01,20869
2005-07-01,22083
2005-10-01,28047
2006-01-01,25411
2006-04-01,25734
2006-07-01,26793
2006-10-01,35056
2007-01-01,30322
2007-04-01,31493
2007-07-01,32248
2007-10-01,42063
2008-01-01,34169
2008-04-01,34170
2008-07-01,33396
2008-10-01,39498
2009-01-01,32185
2009-04-01,32789
2009-07-01,34317
2009-10-01,45617
2010-01-01,36842
2010-04-01,38230
2010-07-01,39809
2010-10-01,54014
2011-01-01,43841
2011-04-01,44948
2011-07-01,45545
2011-10-01,63549
2012-01-01,50589
2012-04-01,51285
2012-07-01,52643
2012-10-01,72361
2013-01-01,58215
2013-04-01,60498
2013-07-01,61857
2013-10-01,83709
2014-01-01,66938
2014-04-01,70134
2014-07-01,71862
2014-10-01,95979
